Api_Res,Month/Year,OIL BBLS,GAS MCF,WATER BBLS,DAYS
3723253571,08/2008,0,5713,27,30
3723253571,09/2008,0,3258,35,30
3723253571,10/2008,0,4822,15,28
3723253571,11/2008,0,5226,24,25
3723253571,12/2008,0,5470,41,31
3723253571,01/2009,0,5226,46,30
3723253571,02/2009,0,4785,60,28
3723253571,03/2009,0,4562,14,31
3723253571,04/2009,97,3844,3,30
3723253571,05/2009,131,5870,31,31
3723253571,06/2009,124,5187,30,30
3723253571,07/2009,93,4881,31,31
3723253571,08/2009,88,5195,31,31
3723253571,09/2009,102,4794,30,30
3723253571,10/2009,87,3949,31,31
3723253571,11/2009,15,4316,30,30
3723253571,12/2009,0,3594,30,31
3723253571,01/2010,0,921,0,19
3723253571,02/2010,43,2705,22,23
3723253571,03/2010,25,1986,19,19
3723253571,04/2010,116,5530,21,21
3723253571,05/2010,82,4716,30,31
3723253571,06/2010,70,4572,30,30
3723253571,07/2010,42,4587,31,31
3723253571,08/2010,104,4569,31,31
3723253571,09/2010,88,4197,30,30
3723253571,10/2010,70,4033,31,31
3723253571,11/2010,86,3920,30,30
3723253571,12/2010,117,4182,31,31
3723253571,01/2011,110,4133,31,31
3723253571,02/2011,87,3735,28,28
3723253571,03/2011,0,4224,31,31
3723253571,04/2011,139,4228,30,30
3723253571,05/2011,54,4228,31,31
3723253571,06/2011,83,4188,30,30
3723253571,07/2011,0,4199,31,31
3723253571,08/2011,0,4175,31,31
3723253571,09/2011,65,3946,30,30
3723253571,10/2011,59,3541,28,31
3723253571,11/2011,124,3706,30,30
3723253571,12/2011,78,3720,31,31
3723253571,01/2012,95,3669,31,31
3723253571,02/2012,40,3523,29,29
3723253571,03/2012,103,4254,31,31
3723253571,04/2012,110,4461,30,30
3723253571,05/2012,144,4381,31,31
3723253571,06/2012,85,4216,30,30
3723253571,07/2012,100,4239,31,31
3723253571,08/2012,98,4246,31,31
3723253571,09/2012,77,4263,30,30
3723253571,10/2012,128,4066,31,31
